Latitude,Longitude,Stop Name,Stop Status
40.660606,-73.962353,LINCOLN RD/FLATBUSH AV,at stop
40.663475,-73.960993,WASHINGTON AV/EMPIRE BL,approaching
40.718738,-73.950137,LORIMER ST/MEEKER AV,< 1 stop away
40.725882,-73.941661,NASSAU AV/VAN DAM ST,< 1 stop away
